Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Uide Group,агентство недвижимости,Агентства недвижимости; Помощь в оформлении ипотеки,"проспект Абая, 151",208 офис; 2 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-17:00,+05:00,4.9,46,87770914040,,,,,,,https://instagram.com/uide.group,,https://wa.me/77770914040,,,,,,,43.239373,76.891799,https://2gis.com/firm/70000001100709342,branch
Vavilon,агентство недвижимости,Агентства недвижимости; Ремонт помещений; Помощь в оформлении ипотеки,"улица Омаровой, 33",23а офис; 1 этаж,050020,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-13:00, 14:00-19:00; Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-19:00",+05:00,5.0,5,87778902722,,,,,,,,,https://wa.me/77778902722,,,,,,,43.212516,76.979231,https://2gis.com/firm/70000001101446779,branch
Аvenue,агентство недвижимости,Агентства недвижимости,"улица Казыбек би, 142",,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,4.9,59,87055777061,,,,,,,https://instagram.com/agency_avenue,,https://wa.me/77055777061,,,,,,,43.254431,76.915945,https://2gis.com/firm/70000001045833337,branch
АЕ Group,компания,Агентства недвижимости; Помощь в оформлении ипотеки; Бухгалтерские услуги; Копировальные услуги,"микрорайон Шугыла, 340/3 к17",1 этаж,050000,Шугыла м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,5.0,7,87076204408,,,,,,,https://instagram.com/aigul_erdauletkyzy,,https://wa.me/77076204408,,,,,,,43.206751,76.788484,https://2gis.com/firm/70000001103997779,branch
Азбука жилья,агентство недвижимости,Агентства недвижимости,"2-й микрорайон, 28а",411 офис; 4 этаж,050062,2-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,5.0,25,87019771112,,,,,,,https://instagram.com/natali_myrzabayeva,,https://wa.me/77019771112,,,,https://t.me/+77019771112,,,43.234959,76.863413,https://2gis.com/firm/70000001099095719,branch
Алатау-Aestate,агентство недвижимости,Агентства недвижимости,"улица Егизбаева, 7/9",170 офис; 1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-13:00, 14:00-17:00; Вт: 10:00-13:00, 14:00-17:00; Ср: 10:00-13:00, 14:00-17:00; Чт: 10:00-13:00, 14:00-17:00; Пт: 10:00-13:00, 14:00-17:00; Сб: 11:00-16:00 (по предварительной записи)",+05:00,4.7,12,87017661199 (отдел продаж: пн-пт 9:00-18:00; сб 11:00-16:00),87775111198,,,,,,https://instagram.com/aestate.kz,,https://wa.me/77775111198,https://wa.me/77017661199,https://wa.me/77775111128,,,,,43.230132,76.884206,https://2gis.com/firm/70000001037315825,branch
Альфа,агентство недвижимости,Агентства недвижимости,"проспект Абая, 115",218 офис; 2 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.4,9,87272775200,87077455523,87016642178,,,,,,,https://wa.me/77016642178,https://wa.me/77077455523,,,,,,43.239826,76.902216,https://2gis.com/firm/9429940000888334,branch
Аманат,агентство недвижимости,Агентства недвижимости,"8-й микрорайон, 4а","105, 107, 108, 110 офис; 1 этаж",050006,8-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 13:00-20:00; Вт: 13:00-20:00; Ср: 13:00-20:00; Чт: 13:00-20:00; Пт: 13:00-20:00; Сб: 13:00-16:00,+05:00,3.2,292,87769999468,,,,,,,https://instagram.com/amanatrealty_almaty,,https://wa.me/77769999468,,,,,,,43.230558,76.868766,https://2gis.com/firm/70000001063148555,branch
Арбат Риэл Эстейт,агентство недвижимости,Агентства недвижимости,"проспект Аль-Фараби, 100",,050040,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:30-18:30; Вт: 09:30-18:30; Ср: 09:30-18:30; Чт: 09:30-18:30; Пт: 09:30-18:30,+05:00,4.6,107,87071152707,,,,,,,https://instagram.com/arbat.real.estate,https://facebook.com/arbat.kz,https://wa.me/77071152707,,,,,,,43.221911,76.935934,https://2gis.com/firm/70000001057213571,branch
Жилцентр,агентство недвижимости,Агентства недвижимости,"улица Егизбаева, 54Б",122 офис; 1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00,+05:00,5.0,8,87077577073,,,,,,,,,https://wa.me/77077577073,,,,,,,43.230149,76.887401,https://2gis.com/firm/70000001076145862,branch
Квартирный вопрос,агентство недвижимости,Агентства недвижимости,"4-й микрорайон, 29",2 этаж,040803,4-й м-н,,Конаев,Конаев городская администрация,Алматинская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+05:00,1.0,7,87477595258,87773418110,87714600398,,,,,,,https://wa.me/77773418110,https://wa.me/77072679168,,,,,,43.851459,77.055437,https://2gis.com/firm/70000001051986677,branch
Комек,агентство недвижимости,Агентства недвижимости,"1-й микрорайон, 3а",1 этаж,040803,1-й м-н,,Конаев,Конаев городская администрация,Алматинская область,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-15:00,+05:00,5.0,11,87473524549,,,,,,,https://instagram.com/komek.qonaev,,https://wa.me/77473524549,,,,,,,43.858962,77.061756,https://2gis.com/firm/70000001111152962,branch
Крыша,​агентство недвижимости,Агентства недвижимости; Помощь в оформлении ипотеки,"3-й микрорайон, 34",1 этаж,040803,3-й м-н,,Конаев,Конаев городская администрация,Алматинская область,Казахстан,Пн: 09:30-18:00; Вт: 09:30-18:00; Ср: 09:30-18:00; Чт: 09:30-18:00; Пт: 09:30-18:00; Сб: 09:30-18:00,+05:00,5.0,22,87752911119,,,,,,,https://instagram.com/krisha.tk,,https://wa.me/77752911119,,,,,,,43.848638,77.055819,https://2gis.com/firm/70000001074954601,branch
Мир ипотеки,агентство недвижимости,Агентства недвижимости,"улица Абая, 59",2 этаж,,,,,Жамбылский район,Алматинская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-17:00,+05:00,5.0,40,87471634883,,,,,,,https://instagram.com/mir_ipotekialmaty,,,,,,,,,43.220434,76.312594,https://2gis.com/firm/70000001109810393,branch
Прайм,агентство недвижимости,Агентства недвижимости,"улица Темиргали Рустембекова, 55/57",,040000,,,Талдыкорган,Талдыкорган городская администрация,Жетысу область,Казахстан,"Пн: 10:00-13:00, 14:00-18:00; Вт: 10:00-13:00, 14:00-18:00; Ср: 10:00-13:00, 14:00-18:00; Чт: 10:00-13:00, 14:00-18:00; Пт: 10:00-13:00, 14:00-18:00; Сб: 10:00-13:00, 14:00-18:00",+05:00,4.9,51,87717804288,,,,,,,https://instagram.com/praim.tdk,,https://wa.me/77717804288,,,,,,,45.011755,78.366596,https://2gis.com/firm/70000001080354603,branch
Пять Звёзд,агентство недвижимости,Агентства недвижимости,"проспект Абая, 76",306 офис; 3 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 11:00-13:00, 14:00-19:00; Вт: 11:00-13:00, 14:00-19:00; Ср: 11:00-13:00, 14:00-19:00; Чт: 11:00-13:00, 14:00-19:00; Пт: 11:00-13:00, 14:00-19:00; Сб: 11:00-13:00, 14:00-19:00; Вс: 11:00-13:00, 14:00-19:00",+05:00,4.3,11,87076355537,,,,,,,,,https://wa.me/77076355537,,,,,,,43.239185,76.903524,https://2gis.com/firm/70000001029286901,branch
Ренессанс,агентство недвижимости,Агентства недвижимости,"улица Курмангазы, 143",,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 11:00-15:00,+05:00,5.0,123,87019307796,,,,,,,https://instagram.com/renessans.kz,,https://wa.me/77019307796,,,,,,,43.243113,76.918111,https://2gis.com/firm/70000001050684915,branch
Риэл-Сити,агентство недвижимости,Агентства недвижимости,"улица Казыбек би, 97",1 офис; 1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00,+05:00,3.4,5,87272794146,87273174771,87013977903,,,,,https://instagram.com/realsity.almaty,,https://wa.me/77013977903,,,,,,,43.256149,76.935251,https://2gis.com/firm/9429940000799841,branch
Риэлторская группа Квадрат,агентство недвижимости,Агентства недвижимости,"проспект Сейфуллина, 9а",403 офис; 4 этаж,050000,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,5.0,148,87007626579 (единая справочная),,,,,,,https://instagram.com/kazakkazakkoni1981,,https://wa.me/77007626579,,,,https://t.me/+77007626579,,,43.337415,76.946991,https://2gis.com/firm/70000001082645507,branch
Твой Ключ,агентство недвижимости,Агентства недвижимости; Помощь в оформлении ипотеки,"улица Шевченко, 85",477 офис; 1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 12:00-16:00; Вс: 12:00-16:00,+05:00,5.0,9,87051549755,,,,,,,https://instagram.com/tvoi_kluch_almaty,,https://wa.me/77051549755,,,,,,,43.246186,76.935065,https://2gis.com/firm/70000001110874938,branch
Шаг Вперёд,агентство недвижимости,Агентства недвижимости; Оформление недвижимости; Помощь в оформлении ипотеки,"улица Толе би, 73а",303 офис; 3 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 12:00-19:00; Вс: 12:00-18:00,+05:00,4.6,56,87717000102,87054641702,,,,,,https://instagram.com/alqadam.kz,,https://wa.me/77717000102,https://wa.me/77054641702,,,,,,43.254469,76.934482,https://2gis.com/firm/70000001063947774,branch
Эрмитаж,агентство недвижимости,Агентства недвижимости,"улица Толе би, 286/4",407 офис; 4 этаж,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-15:00,+05:00,4.8,399,87471935731,,,,,,,https://instagram.com/ermitazh_almaty,,https://wa.me/77471935731,,,,https://t.me/+77471935731,,,43.247891,76.868574,https://2gis.com/firm/70000001054050460,branch
