Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Skype,Широта,Долгота,2GIS URL,Тип
Buytex,​оптово-розничная торговая компания,Компьютеры; Оргтехника,"улица Панфилова, 103",34 бутик; 3 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,14,87002029256,87784297364,,,,,,,,https://instagram.com/buytex_kz,,,,https://wa.me/77002029256,,,,,,,,43.260994,76.943062,https://2gis.com/firm/70000001110527090,branch
Case mart,магазин аксессуаров для телефона,Компьютеры; Аксессуары к телефонам,"улица Ушконыр, 78/7",1 этаж,040923,,,,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,1.5,4,87019320999,,,,,,,,,,,,,,,,,,,,,43.206168,76.745106,https://2gis.com/firm/70000001098984431,branch
Chipset Service,компания по продаже и ремонту компьютеров и комплектующих,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК; Оргтехника; Монтаж компьютерных сетей,"улица Кузиева, 112а",,040425,,,,Енбекшиказахский район,Алматинская область,Казахстан,Пн: 14:00-22:00; Вт: 14:00-22:00; Ср: 14:00-22:00; Чт: 14:00-22:00; Пт: 14:00-22:00; Сб: 14:00-22:00; Вс: 14:00-22:00,+05:00,5.0,106,87475753535,,,,,,,,,https://instagram.com/chipset_service,,,,https://wa.me/77475753535,,,,,,,,43.441587,77.255903,https://2gis.com/firm/70000001081096208,branch
Communications Kazakhstan,Сервисная компания,Компьютеры; Сетевое оборудование; IP-телефония,"Хусаинова улица, 281",2 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,,,87712281203,,,,,,,,,,,,,https://wa.me/77475288908,,,,,,,,43.199417,76.891703,https://2gis.com/firm/70000001112607875,branch
CompMaster,сервисный центр,Компьютеры; Сборка и апгрейд ПК; Программное обеспечение,"улица Толе би, 261Б",,050005,Тастак-2 м-н,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительному звонку),+05:00,5.0,31,87066069785,,,,,,,,,https://instagram.com/compcity_master,,,,https://wa.me/77066069785,,,,https://t.me/compmasterrr,,,,43.24973,76.870395,https://2gis.com/firm/70000001100095201,branch
Compshop1.kz,компания,Компьютеры; Ремонт компьютеров; Ремонт оргтехники; Сборка и апгрейд ПК; Программное обеспечение,"Алматинская улица, 52",,040729,,,,Илийский район,Алматинская область,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,,,87478848454,,,,,,,,,,,,,https://wa.me/77478848454,,,,https://t.me/+77478848454,,,,43.410832,76.915742,https://2gis.com/firm/70000001114417490,branch
Compshop1.kz,компания,Компьютеры; Ремонт компьютеров; Ремонт оргтехники; Сборка и апгрейд ПК; Монтаж компьютерных сетей,"улица Сейдалиева, 72Б",2 этаж,040718,,,,Илийский район,Алматинская область,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,,,87478848454,,,,,,,,,,,,,https://wa.me/77478848454,,,,https://t.me/+77478848454,,,,43.38113,76.85773,https://2gis.com/firm/70000001113424120,branch
Compshop1.kz,компания,Компьютеры; Ремонт компьютеров; Ремонт оргтехники; Сборка и апгрейд ПК; Монтаж компьютерных сетей,"ПКСТ Жастар, 15",,040718,,,,Илийский район,Алматинская область,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,5.0,38,87478848454,,,,,,,,,,,,,https://wa.me/77478848454,,,,https://t.me/+77478848454,,,,43.42813,76.856082,https://2gis.com/firm/70000001074954356,branch
Compshop1.kz,компания,Компьютеры; Ремонт компьютеров; Ремонт оргтехники; Сборка и апгрейд ПК; Программное обеспечение,"улица Маметовой, 14",,040717,,,,Илийский район,Алматинская область,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,5.0,4,87478848454,,,,,,,,,,,,,https://wa.me/77478848454,,,,https://t.me/+77478848454,,,,43.420614,76.891651,https://2gis.com/firm/70000001046026561,branch
CompStore,сервисный центр,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК,"улица Толе би, 266",20 бутик; 2 этаж,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.4,20,87475451213,,,,,,,,,https://instagram.com/compstore.info,,,,https://wa.me/77475451213,,,,https://t.me/+77475451213,,,,43.249802,76.877107,https://2gis.com/firm/70000001063471129,branch
Computer help,сервисный центр,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК; Программное обеспечение; Ремонт оргтехники,"улица Кошкарбаева, 1144",1 этаж,041609,,,,Талгарский район,Алматинская область,Казахстан,Пн: 16:00-24:00; Вт: 16:00-24:00; Ср: 16:00-24:00; Чт: 16:00-24:00; Пт: 16:00-24:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (по предварительной записи),+05:00,4.6,17,87076395646,,,,,,,,,,,,,https://wa.me/77076395646,,,,,,,,43.322671,77.029003,https://2gis.com/firm/70000001090422891,branch
Compway,магазин компьютерной техники,Компьютеры,"улица Ашимова, 86",,050006,Калкаман-2 м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 14:00-19:00,+05:00,4.6,81,87711569640,,,,,,,,,,,,,https://wa.me/77711569640,,,,,,,,43.217906,76.807782,https://2gis.com/firm/70000001105325065,branch
Compy Trade,онлайн-магазин по скупке и продаже компьютеров,Компьютеры,"улица Акбозат, 6/2",,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+05:00,4.3,4,87075929662,,,,,,,,,,,,,https://wa.me/77075929662,,,,,,,,43.253354,76.966915,https://2gis.com/firm/70000001109695367,branch
Cyber Jan,сервисный центр,Компьютеры; Комиссионные магазины; Ремонт компьютеров,"микрорайон Сайран, 1",,050062,Сайран м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 12:00-18:00,+05:00,4.9,49,87087438582,,,,,,,,,https://instagram.com/cyberjan.almaty,,,,https://wa.me/77087438582,,,,,,,,43.233135,76.868802,https://2gis.com/firm/70000001104476101,branch
CyberGeek,интернет-магазин по продаже компьютеров и ноутбуков,Компьютеры; Сборка и апгрейд ПК; Фототовары; Сетевое оборудование,"улица Жарокова, 302",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 11:00-17:00 (по предварительной записи),+05:00,4.9,139,87475642726,,,,,,,,,https://instagram.com/cybergeekteam,,,,https://wa.me/77475642726,,,,,,,,43.202574,76.905655,https://2gis.com/firm/70000001084084121,branch
Cyberland.kz,интернет-магазин,Компьютеры; Электротехника; Оборудование для 3D печати,"Каракалпакская улица, 11",2 этаж,050056,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,3.7,3,87273124800,,,,,,,,,,,https://facebook.com/eKoleso.kz,,,,,,,,https://youtube.com/channel/UClqfTxW8GkoB-6FjOs5-QLw,,43.296395,76.963164,https://2gis.com/firm/70000001035832133,branch
Darkcomp,магазин компьютеров,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК,"улица Навои, 156",,050042,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00,+05:00,5.0,57,87718211851,,,,,,,,,https://instagram.com/darkcomp.kz,,,,https://wa.me/77718211851,,,,,,,,43.210533,76.88317,https://2gis.com/firm/70000001088126405,branch
Device Point,комиссионный магазин техники,Компьютеры; Комиссионные магазины; Мобильные телефоны,"улица Утеген батыра, 98",,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,1.0,1,87086240360,,,,,,,,,,,,,https://wa.me/77086240360,https://wa.me/77479086210,,,,,,,43.238948,76.860074,https://2gis.com/firm/70000001110936705,branch
Devicemart,компания по продаже компьютеров,Компьютеры,"улица Казыбаева, 44",1 этаж,050050,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,,,87079495045,,,,,,,,,,,,,https://wa.me/77079495045,,,,,,,,43.280322,76.916704,https://2gis.com/firm/70000001089893387,branch
Digital House,магазин электроники,Компьютеры; Мобильные телефоны; Аксессуары к телефонам,"улица Макатаева, 81",,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,2,87052201101,87073131666,,,,,,,,,,,,https://wa.me/77052201101,https://wa.me/77073131666,,,https://t.me/+77073131666,,,,43.263985,76.941524,https://2gis.com/firm/70000001080152152,branch
Dimirus,оптовая компания,Компьютеры,"Богенбай батыра улица, 75",,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00,+05:00,5.0,1,87272437002,,,,,,,,,,,,,,,,,,,,,43.25436,76.959934,https://2gis.com/firm/70000001067191863,branch
Doctor Com,сервисный центр,Компьютеры; Ремонт компьютеров; Системное администрирование; Элементы питания,"улица Толе би, 73",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+05:00,4.7,418,87783650713,,,,,,,,,https://instagram.com/doctor_com_almaty,,,,https://wa.me/77783650713,,,,,,,,43.254502,76.935878,https://2gis.com/firm/70000001045088921,branch
DOService,сервисный центр,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК; Копировальные услуги; Комиссионные магазины; Системное администрирование; Оргтехника,"улица Чуланова, 127",цокольный этаж,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-17:00 (по предварительному звонку),+05:00,4.9,84,87002727920,87072771989,,,,,,,,https://instagram.com/doservicenter,,,,https://wa.me/77072771989,https://wa.me/77002727920,,,https://t.me/dosmuxan,,,,43.250803,76.82527,https://2gis.com/firm/70000001052396564,branch
Dosstar,сервисный центр,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК; Заправка картриджей,"улица Толе би, 266",16 бутик; 1 этаж,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00; Сб: 11:00-18:00; Вс: 11:00-18:00,+05:00,5.0,10,87769999681,,,,,,,,,https://instagram.com/remontnotebookov,,,,https://wa.me/77769999681,,,,,,,,43.249802,76.877107,https://2gis.com/firm/70000001040255624,branch
Dosstar,сервисный центр,Компьютеры; Ремонт компьютеров; Заправка картриджей; Сборка и апгрейд ПК; Копировальные услуги,"микрорайон Жетысу-2, 80",цокольный этаж,050063,Жетысу-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00,+05:00,5.0,271,87770433318,,,,,,,,,https://instagram.com/remontnotebookov,,,,https://wa.me/77770433318,,,,,,,,43.220497,76.847063,https://2gis.com/firm/70000001031987882,branch
DreamDesk.kz,торговая компания,Компьютеры; Сборка и апгрейд ПК,"улица Биокомбинатская, 7",302 офис; 3 этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00,+05:00,5.0,4,87066499388,,,,,,,,,https://instagram.com/dreamdesk.kz,,,,https://wa.me/77066499388,,,,,,,,43.237934,76.911525,https://2gis.com/firm/70000001111115716,branch
EShop,сервисный центр,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК,"Ораза Жандосова улица, 9",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 11:00-17:00,+05:00,4.9,143,87074043838,87074049969,,,,,,,,https://instagram.com/eshop_kz,,,,https://wa.me/77074049969,https://wa.me/77074043838,,,,,,,43.234163,76.904076,https://2gis.com/firm/70000001036485374,branch
Expert,центр ремонта компьютеров,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК; Системное администрирование; Монтаж компьютерных сетей,"Железнодорожная улица, 79",,40700,,,,Илийский район,Алматинская область,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+05:00,5.0,11,87012762748,,,,,,,,,,,,,https://wa.me/77012762748,,,,,,,,43.354861,76.842538,https://2gis.com/firm/70000001079723794,branch
Floxcom,сервисный центр,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК; Аксессуары к телефонам,"Барибаева улица, 60",1 этаж,040901,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (по предварительной записи),+05:00,4.9,6,87789999989 (мастер по ремонту ноутбуков),,,,,,,,,,,,,https://wa.me/77789999989,,,,https://t.me/+77789999989,,,,43.201662,76.62687,https://2gis.com/firm/70000001044543702,branch
Forself,магазин электроники,Компьютеры; Мобильные телефоны; Аксессуары к телефонам,"проспект Абылай хана, 62",2 этаж; внутри бутика Aika,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,138,87776817149,,,,,,,,,https://instagram.com/forself.kz,,,,https://wa.me/77776817149,,,,,,,,43.26205,76.941855,https://2gis.com/firm/70000001079962389,branch
G-Service,мастерская по ремонту ноутбуков и компьютеров,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК,"микрорайон Айнабулак-1, 2",1 этаж; вход с ул. Жумабаева,050014,Айнабулак-1 м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 11:00-17:00; Вт: 11:00-17:00; Ср: 11:00-17:00; Чт: 11:00-17:00; Сб: 11:00-17:00; Вс: 11:00-17:00,+05:00,4.8,54,87077042494,87777042494,,,,,,,,https://instagram.com/g_service_almaty,,https://facebook.com/G-SERVICE-%D0%A1%D0%B5%D1%80%D0%B2%D0%B8%D1%81-%D1%86%D0%B5%D0%BD%D1%82%D1%80-204921557057290,,https://wa.me/77077042494,,,,,,,,43.32217,76.912518,https://2gis.com/firm/70000001036342155,branch
Gabit Telephone,бутик по продаже телефонов,Компьютеры; Мобильные телефоны; Аксессуары к телефонам; Помощь в подключении услуг связи; Ремонт телефонов,"проспект Жибек Жолы, 85",29 сектор; 2 этаж; витрина 26,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,12,87472029092,87781802003,,,,,,,,https://instagram.com/gabit_abilda,,,,https://wa.me/77472029092,https://wa.me/77781802003,,,,,,,43.26205,76.941855,https://2gis.com/firm/70000001084533104,branch
Genesis Gamers,компания по продаже компьютеров и комплектующих,Компьютеры; Сборка и апгрейд ПК,"улица Галилея, 4",,050014,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00,+05:00,5.0,29,87079555213,,,,,,,,,https://instagram.com/genesis_gamers,,,,https://wa.me/77079555213,,,,https://t.me/genesis_gamers,,,,43.268406,76.909389,https://2gis.com/firm/70000001096904594,branch
Getmobile.kz,торговая компания,Компьютеры; Мобильные телефоны; Аксессуары к телефонам; Помощь в подключении услуг связи; Бытовая техника,"проспект Абылай хана, 62",20 место; 15 сектор; 2 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.0,4,87018195551,,,,,,,,,https://instagram.com/getmobile.kz,,,,https://wa.me/77018195551,,,,,,,,43.26205,76.941855,https://2gis.com/firm/70000001062793952,branch
Global IT Technologies,компания,Компьютеры; Оргтехника; Программное обеспечение; Сетевое оборудование,"улица Айманова, 126",609 кабинет; 6 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:30; Вт: 10:00-18:30; Ср: 10:00-18:30; Чт: 10:00-18:30; Пт: 10:00-18:30; Сб: 10:00-17:00,+05:00,5.0,8,87774379898,,,,,,,,,,,,,https://wa.me/77774379898,https://wa.me/77470852440,,,https://t.me/+77774379898,,,,43.23778,76.897399,https://2gis.com/firm/70000001045196092,branch
Global Market City,магазин,Компьютеры; Офисная мебель; Канцтовары; Охранные системы,"микрорайон Думан-2, 18",2 этаж,050064,Думан-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,,,87082515984,,,,,,,,,https://instagram.com/g_marketcity,,,,https://wa.me/77082515984,,,,,,,,43.287843,77.003736,https://2gis.com/firm/70000001105139418,branch
Golden Store,магазин электроники,Компьютеры; Мобильные телефоны; Аксессуары к телефонам,"проспект Абылай хана, 62",13-17 место; 21 сектор; 2 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,5.0,6,87472220888,,,,,,,,,https://instagram.com/golden_store_empire,,,,https://wa.me/77472220888,,,,,,,,43.26205,76.941855,https://2gis.com/firm/70000001078853641,branch
Goodgame,компания по продаже компьютеров,Компьютеры,"микрорайон Аксай-1, 11/7",,050031,Аксай-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,5.0,8,87089798774,,,,,,,,,,,,,https://wa.me/77089798774,,,,,,,,43.242718,76.834113,https://2gis.com/firm/70000001094602270,branch
Gufa,компания,Компьютеры; Мобильные телефоны; Часы,"улица Кунаева, 43",314 офис; 2 этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00,+05:00,5.0,5,87773877787,,,,,,,,,,,,,https://wa.me/77773877787,,,,,,,,43.262917,76.948928,https://2gis.com/firm/70000001090817048,branch
High Systems,сервисная компания,Компьютеры; Заправка картриджей; Ремонт компьютеров; Ремонт оргтехники,"улица Маркова, 22/37",3 этаж,050040,Коктем-1 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,4.9,46,87471102638,,,,,,,,,,,,,https://wa.me/77471102638,,,,,,,,43.230618,76.929444,https://2gis.com/firm/70000001024603785,branch
Hitcom,торговая компания,Компьютеры; Оргтехника; Расходные материалы для оргтехники; Сетевое оборудование; Программное обеспечение,"улица Карасай батыра, 237",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,2.7,8,87771064197,,,,,,,,,,,,,https://wa.me/77771064197,,,,,,,,43.247489,76.885874,https://2gis.com/firm/70000001092583427,branch
Hqservice.kz,,Компьютеры; Ремонт компьютеров; Ремонт цифровой техники; Сборка и апгрейд ПК; Комиссионные магазины; Программное обеспечение; Элементы питания,"улица Маркова, 61/1",7 офис; цокольный этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,25,87079104686,,,,,,,,,https://instagram.com/hqservice.kz,,https://facebook.com/profile.php?id=61561325563450,,https://wa.me/77079104686,,,,,,,,43.226619,76.934658,https://2gis.com/firm/70000001074192482,branch
ikhlas_mobile,,Компьютеры; Ремонт телефонов; Ремонт компьютеров; Мобильные телефоны,"проспект Абылай хана, 62",5 место; 21 сектор; 2 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,6,87477453937,,,,,,,,,https://instagram.com/ikhlas_mobile_,,,,https://wa.me/77477453937,,,,,,,,43.26205,76.941855,https://2gis.com/firm/70000001114153153,branch
Impacto Gaming,центр по продаже и ремонту компьютеров,Компьютеры; Ремонт компьютеров,"микрорайон Сайран, 114",1 этаж,050062,Сайран м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00,+05:00,5.0,3,87082703625,,,,,,,,,,,,,https://wa.me/77082703625,,,,,,,,43.239292,76.861772,https://2gis.com/firm/70000001114717276,branch
Inteco,магазин мобильных телефонов и гаджетов,Компьютеры; Мобильные телефоны; Аксессуары к телефонам,"улица Биокомбинатская, 20",1 этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 14:00-23:00; Сб: 10:00-22:30; Вс: 10:00-22:30,+05:00,4.5,24,87000990203,,,,,,,,,https://instagram.com/inteco.kz,,,,https://wa.me/77000990203,,,,,,,,43.237946,76.912466,https://2gis.com/firm/70000001081895422,branch
Intercom,компания по продаже компьютерного оборудования,Компьютеры; Ремонт компьютеров; Заправка картриджей; Расходные материалы для оргтехники,"улица Карасай батыра, 29",,040900,,,Каскелен,Карасайский район,Алматинская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:30; Вт: 09:00-13:00, 14:00-18:30; Ср: 09:00-13:00, 14:00-18:30; Чт: 09:00-13:00, 14:00-18:30; Пт: 09:00-13:00, 14:00-18:30; Сб: 09:00-13:00, 14:00-17:30; Вс: 09:00-13:00, 14:00-17:30",+05:00,4.5,35,87087257155,87081831060,87277122285,,,,,,,https://instagram.com/_intercom_computer_shop,,,,https://wa.me/77087257155,,,,,,,,43.200409,76.621868,https://2gis.com/firm/70000001044161297,branch
IT Spirit,IT-компания,Компьютеры; Системное администрирование; Ремонт компьютеров; Бухгалтерские программы; Разработка и продвижение сайтов,"проспект Жибек Жолы, 64",310 офис; 3 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-14:00,+05:00,4.4,6,87769993278 (техническая поддержка),,,,,,,,,,,,,https://wa.me/77769993278,,,viber://chat/?number=77769993278,,,,,43.261929,76.950826,https://2gis.com/firm/70000001064219921,branch
It-factory.kz,компания по ремонту ноутбуков и компьютеров,Компьютеры; Ремонт компьютеров,"проспект Гагарина, 83",211 офис; 2 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00,+05:00,5.0,7,87779452929,,,,,,,,,,,,,https://wa.me/77779452929,,,,,,,,43.241245,76.893636,https://2gis.com/firm/70000001045807950,branch
